,short_name,long_name,age,club,overall,potential,defending,physic
1,M. de Ligt,Matthijs de Ligt,19,Juventus,85,93,83,84
2,K. Koulibaly,Kalidou Koulibaly,28,Napoli,89,91,89,87
3,V. van Dijk,Virgil van Dijk,27,Liverpool,90,91,90,86
4,F. de Jong,Frenkie de Jong,22,FC Barcelona,85,91,76,76
5,S. Milinković-Savić,Sergej Milinković-Savić,24,Lazio,85,90,77,84
6,Marquinhos,Marcos  Aoás Corrêa,25,Paris Saint-Germain,86,90,86,77
7,N. Kanté,N'Golo Kanté,28,Chelsea,89,90,87,83
8,N. Süle,Niklas Süle,23,FC Bayern München,85,90,86,82
9,R. Varane,Raphaël Varane,26,Real Madrid,85,90,85,80
10,Rodri,Rodrigo Hernández Cascante,23,Manchester City,85,90,82,80
11,M. Škriniar,Milan Škriniar,24,Inter,86,90,87,82
12,A. Laporte,Aymeric  Laporte,25,Manchester City,87,90,88,82
13,A. Romagnoli,Alessio Romagnoli,24,Milan,83,89,85,79
14,J. Giménez,José María Giménez de Vargas,24,Atlético Madrid,85,89,86,82
15,Fabinho,Fábio Henrique Tavares,25,Liverpool,85,89,85,83
16,L. Hernández,Lucas Hernández,23,FC Bayern München,84,89,83,82
17,Sergio Busquets,Sergio Busquets i Burgos,30,FC Barcelona,89,89,85,80
18,S. Umtiti,Samuel Umtiti,25,FC Barcelona,86,89,86,82
19,Casemiro,Carlos Henrique Venancio Casimiro,27,Real Madrid,87,89,85,89
20,C. Lenglet,Clément Lenglet,24,FC Barcelona,85,89,86,80
21,G. Chiellini,Giorgio Chiellini,34,Juventus,89,89,90,82
22,Sergio Ramos,Sergio Ramos García,33,Real Madrid,89,89,87,85
23,A. Robertson,Andrew Robertson,25,Liverpool,85,89,80,75
24,J. Kimmich,Joshua Kimmich,24,FC Bayern München,86,88,79,78
25,L. Goretzka,Leon Goretzka,24,FC Bayern München,84,88,75,79
26,J. Tah,Jonathan Tah,23,Bayer 04 Leverkusen,83,88,83,81
27,M. Akanji,Manuel Obafemi Akanji,23,Borussia Dortmund,83,88,83,80
28,D. Godín,Diego Godín,33,Inter,88,88,89,83
29,C. Tolisso,Corentin Tolisso,24,FC Bayern München,83,88,76,79
30,Piqué,Gerard Piqué Bernabéu,32,FC Barcelona,88,88,88,80
31,I. Konaté,Ibrahima Konaté,20,RB Leipzig,79,88,80,78
32,D. Upamecano,Dayotchanculle Upamecano,20,RB Leipzig,77,88,75,80
33,J. Gomez,Joe Gomez,22,Liverpool,80,88,79,76
34,Éder Militão,Éder Gabriel Militão,21,Real Madrid,81,88,81,81
35,M. Hummels,Mats  Hummels,30,Borussia Dortmund,87,87,89,76
36,S. Berge,Sander Berge,21,KRC Genk,79,87,76,85
37,Ferro,Francisco Reis Ferreira,22,SL Benfica,78,87,80,76
38,T. Alderweireld,Toby Alderweireld,30,Tottenham Hotspur,87,87,88,79
39,P. Kimpembe,Presnel Kimpembe,23,Paris Saint-Germain,82,87,81,83
40,L. Torreira,Lucas Torreira Di Pascua,23,Arsenal,82,87,81,75
41,D. Sánchez,Davinson Sánchez,23,Tottenham Hotspur,83,87,83,81
42,J. Vertonghen,Jan Vertonghen,32,Tottenham Hotspur,87,87,87,79
43,A. Rabiot,Adrien Rabiot,24,Juventus,83,87,77,80
44,Thiago Silva,Thiago Emiliano da Silva,34,Paris Saint-Germain,87,87,87,78
45,V. Lindelöf,Victor Nilsson Lindelöf,24,Manchester United,81,87,82,78
46,J. Stones,John Stones,25,Manchester City,83,87,84,77
47,Mario Hermoso,Mario Hermoso Canseco,24,Atlético Madrid,80,87,79,77
48,Nélson Semedo,Nélson Cabral Semedo,25,FC Barcelona,82,87,77,75
49,D. Rice,Declan Rice,20,West Ham United,78,87,77,77
50,Fernandinho,Fernando Luiz Rosa,34,Manchester City,87,87,84,79
51,Alex Telles,Alex Nicolao Telles,26,FC Porto,84,86,80,76
52,Rúben Dias,Rúben Alves Dias,22,SL Benfica,80,86,81,83
53,D. Alaba,David Olatukunbo Alaba,27,FC Bayern München,85,86,80,76
54,K. Manolas,Kostas Manolas,28,Napoli,85,86,86,81
55,F. Kessié,Franck Yannick Kessié,22,Milan,79,86,78,88
56,W. McKennie,Weston McKennie,20,FC Schalke 04,76,86,76,83
57,L. Digne,Lucas Digne,25,Everton,83,86,80,76
